Project,CVE,File,Function,Patch commit,Ex-patch commit,BIC,Affected
tcpdump,CVE-2017-13055,print-isoclns.c,isis_print_is_reach_subtlv,https://github.com/the-tcpdump-group/tcpdump/commit/5d0d76e88ee2d3236d7e032589d6f1d4ec5f7b1e,https://github.com/the-tcpdump-group/tcpdump/commit/5d340a5ca6e420a70297cdbdf777333f18bfdab7,,
tcpdump,CVE-2017-13688,print-olsr.c,olsr_print,https://github.com/the-tcpdump-group/tcpdump/commit/0cb1b8a434b599b8d636db029aadb757c24e39d6,https://github.com/the-tcpdump-group/tcpdump/commit/26b956739a77641634964e90aa765884daef0d0f,,
tcpdump,CVE-2017-13689,print-isakmp.c,ikev1_id_print,https://github.com/the-tcpdump-group/tcpdump/commit/061e7371a944588f231cb1b66d6fb070b646e376,https://github.com/the-tcpdump-group/tcpdump/commit/0cb1b8a434b599b8d636db029aadb757c24e39d6,,
tcpdump,CVE-2017-13725,print-rt6.c,rt6_print,https://github.com/the-tcpdump-group/tcpdump/commit/3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,https://github.com/the-tcpdump-group/tcpdump/commit/66df248b49095c261138b5a5e34d341a6bf9ac7f,,
libxml2,CVE-2017-15412,xpath.c,xmlXPathCompOpEvalPositionalPredicate,https://gitlab.gnome.org/GNOME/libxml2/-/commit/0f3b843b3534784ef57a4f9b874238aa1fda5a73,https://gitlab.gnome.org/GNOME/libxml2/-/commit/3157cf4e53c03bc3da604472c015c63141907db8,,
libxml2,CVE-2017-7375,parser.c,xmlParsePEReference,https://gitlab.gnome.org/GNOME/libxml2/-/commit/90ccb58242866b0ba3edbef8fe44214a101c2b3e,https://gitlab.gnome.org/GNOME/libxml2/-/commit/5dca9eea1bd4263bfa4d037ab2443de1cd730f7e,,
libxml2,CVE-2017-9048,valid.c,xmlSnprintfElementContent,https://gitlab.gnome.org/GNOME/libxml2/-/commit/932cc9896ab41475d4aa429c27d9afd175959d74,https://gitlab.gnome.org/GNOME/libxml2/-/commit/e26630548e7d138d2c560844c43820b6767251e3,,
freetype,CVE-2017-7857,src/sfnt/sfobjs.c,sfnt_init_face,https://github.com/freetype/freetype/commit/7bbb91fbf47fc0775cc9705673caf0c47a81f94b,https://github.com/freetype/freetype/commit/7d7aae1de3e2aea5bad2e92b0f9d074bd5130ecd,,
freetype,CVE-2017-7858,src/sfnt/sfobjs.c,sfnt_init_face,https://github.com/freetype/freetype/commit/779309744222a736eba0f1731e8162fce6288d4e,https://github.com/freetype/freetype/commit/27fee7f8c6ae75e066b5a23472b33925c6e8b1e0,,
freetype,CVE-2017-7864,src/truetype/ttobjs.c,tt_size_reset,https://github.com/freetype/freetype/commit/e6699596af5c5d6f0ae0ea06e19df87dce088df8,https://github.com/freetype/freetype/commit/dadc50a4679c74ead5a283dd48a4164bc4a27cdd,,
freetype,CVE-2017-8105,src/psaux/t1decode.c,t1_decoder_parse_charstrings,https://github.com/freetype/freetype/commit/f958c48ee431bef8d4d466b40c9cb2d4dbcb7791,https://github.com/freetype/freetype/commit/913f436d12dfe682c349eff8bf4cdd9065ff117d,,
freetype,CVE-2017-8287,src/psaux/psobjs.c,t1_builder_close_contour,https://github.com/freetype/freetype/commit/3774fc08b502c3e685afca098b6e8a195aded6a0,https://github.com/freetype/freetype/commit/f958c48ee431bef8d4d466b40c9cb2d4dbcb7791,,
expat,CVE-2017-9233,expat/lib/xmlparse.c,entityValueInitProcessor,https://github.com/libexpat/libexpat/commit/c4bf96bb51dd2a1b0e185374362ee136fe2c9d7f,https://github.com/libexpat/libexpat/commit/774ee6c15b8832ff567d2a32ca0e4926179e7f97,,
openvpn,CVE-2017-7520,src/openvpn/ntlm.c,ntlm_phase_3,https://github.com/OpenVPN/openvpn/commit/7718c8984f04b507c1885f363970e2124e3c6c77,https://github.com/OpenVPN/openvpn/commit/cb4e35ece4a5b70b10ef9013be3bff263d82f32b,,
openvpn,CVE-2017-7521,src/openvpn/ssl_verify_openssl.c,extract_x509_extension,https://github.com/OpenVPN/openvpn/commit/cb4e35ece4a5b70b10ef9013be3bff263d82f32b,https://github.com/OpenVPN/openvpn/commit/d2a19185fd78030ce4a1bba6c9f83e0dac9e15a6,,
openvpn,CVE-2017-7522,src/openvpn/ssl_verify_mbedtls.c,asn1_buf_to_c_string,https://github.com/OpenVPN/openvpn/commit/426392940c7060300a10077c389f5156c790c2f6,https://github.com/OpenVPN/openvpn/commit/5bde5b6d1875fd87b116c943084df0d2f6aee6d0,,
openvpn,CVE-2017-12166,src/openvpn/crypto.c,read_key,https://github.com/OpenVPN/openvpn/commit/3b1a61e9fb27213c46f76312f4065816bee8ed01,https://github.com/OpenVPN/openvpn/commit/a4686e99b047081f0ef6f7945450183088464aa5,,
